Wlgth,"Reflectivity (P-Pol, 5°)",Wlgth,"GDD (P-Pol, 5°)"
939.2496,99.9975,939.2496,-201.463
939.3518,99.99757,939.3518,-201.581
939.4539,99.99764,939.4539,-201.696
939.5561,99.9977,939.5561,-201.809
939.6584,99.99776,939.6584,-201.919
939.7606,99.99782,939.7606,-202.027
939.8629,99.99788,939.8629,-202.133
939.9652,99.99793,939.9652,-202.236
940.0675,99.99799,940.0675,-202.337
940.1698,99.99804,940.1698,-202.435
940.2722,99.99809,940.2722,-202.531
940.3746,99.99814,940.3746,-202.625
940.477,99.99819,940.477,-202.716
940.5794,99.99823,940.5794,-202.805
940.6818,99.99828,940.6818,-202.892
940.7843,99.99832,940.7843,-202.976
940.8868,99.99836,940.8868,-203.058
940.9893,99.9984,940.9893,-203.138
941.0919,99.99844,941.0919,-203.215
941.1944,99.99847,941.1944,-203.291
941.297,99.99851,941.297,-203.364
941.3996,99.99855,941.3996,-203.434
941.5022,99.99858,941.5022,-203.503
941.6049,99.99861,941.6049,-203.569
941.7076,99.99864,941.7076,-203.634
941.8103,99.99868,941.8103,-203.696
941.913,99.99871,941.913,-203.756
942.0157,99.99873,942.0157,-203.814
942.1185,99.99876,942.1185,-203.869
942.2213,99.99879,942.2213,-203.923
942.3241,99.99882,942.3241,-203.974
942.4269,99.99884,942.4269,-204.024
942.5297,99.99887,942.5297,-204.071
942.6326,99.99889,942.6326,-204.117
942.7355,99.99891,942.7355,-204.16
942.8384,99.99894,942.8384,-204.201
942.9414,99.99896,942.9414,-204.241
943.0443,99.99898,943.0443,-204.278
943.1473,99.999,943.1473,-204.314
943.2503,99.99902,943.2503,-204.347
943.3534,99.99904,943.3534,-204.379
943.4564,99.99906,943.4564,-204.408
943.5595,99.99908,943.5595,-204.436
943.6626,99.9991,943.6626,-204.462
943.7657,99.99911,943.7657,-204.486
943.8689,99.99913,943.8689,-204.508
943.972,99.99915,943.972,-204.529
944.0752,99.99916,944.0752,-204.547
944.1784,99.99918,944.1784,-204.564
944.2817,99.9992,944.2817,-204.579
944.3849,99.99921,944.3849,-204.593
944.4882,99.99923,944.4882,-204.604
944.5915,99.99924,944.5915,-204.614
944.6948,99.99925,944.6948,-204.622
944.7982,99.99927,944.7982,-204.629
944.9015,99.99928,944.9015,-204.634
945.0049,99.99929,945.0049,-204.637
945.1083,99.9993,945.1083,-204.638
945.2118,99.99932,945.2118,-204.638
945.3152,99.99933,945.3152,-204.636
945.4187,99.99934,945.4187,-204.633
945.5222,99.99935,945.5222,-204.628
945.6258,99.99936,945.6258,-204.622
945.7293,99.99937,945.7293,-204.614
945.8329,99.99938,945.8329,-204.604
945.9365,99.99939,945.9365,-204.593
946.0401,99.9994,946.0401,-204.581
946.1437,99.99941,946.1437,-204.567
946.2474,99.99942,946.2474,-204.552
946.3511,99.99943,946.3511,-204.535
946.4548,99.99944,946.4548,-204.517
946.5585,99.99945,946.5585,-204.497
946.6623,99.99946,946.6623,-204.476
946.7661,99.99947,946.7661,-204.454
946.8699,99.99947,946.8699,-204.43
946.9737,99.99948,946.9737,-204.405
947.0775,99.99949,947.0775,-204.379
947.1814,99.9995,947.1814,-204.351
947.2853,99.9995,947.2853,-204.323
947.3892,99.99951,947.3892,-204.293
947.4931,99.99952,947.4931,-204.261
947.5971,99.99953,947.5971,-204.229
947.7011,99.99953,947.7011,-204.195
947.8051,99.99954,947.8051,-204.16
947.9091,99.99954,947.9091,-204.124
948.0132,99.99955,948.0132,-204.087
948.1172,99.99956,948.1172,-204.049
948.2213,99.99956,948.2213,-204.009
948.3255,99.99957,948.3255,-203.969
948.4296,99.99957,948.4296,-203.927
948.5338,99.99958,948.5338,-203.885
948.638,99.99959,948.638,-203.841
948.7422,99.99959,948.7422,-203.796
948.8464,99.9996,948.8464,-203.751
948.9507,99.9996,948.9507,-203.704
949.0549,99.99961,949.0549,-203.656
949.1592,99.99961,949.1592,-203.608
949.2636,99.99962,949.2636,-203.559
949.3679,99.99962,949.3679,-203.508
949.4723,99.99962,949.4723,-203.457
949.5767,99.99963,949.5767,-203.405
949.6811,99.99963,949.6811,-203.352
949.7855,99.99964,949.7855,-203.299
949.89,99.99964,949.89,-203.244
949.9945,99.99965,949.9945,-203.189
950.099,99.99965,950.099,-203.133
950.2035,99.99965,950.2035,-203.076
950.3081,99.99966,950.3081,-203.019
950.4127,99.99966,950.4127,-202.96
950.5173,99.99967,950.5173,-202.901
950.6219,99.99967,950.6219,-202.842
950.7266,99.99967,950.7266,-202.782
950.8312,99.99968,950.8312,-202.721
950.9359,99.99968,950.9359,-202.659
951.0406,99.99968,951.0406,-202.597
951.1454,99.99969,951.1454,-202.535
951.2501,99.99969,951.2501,-202.472
951.3549,99.99969,951.3549,-202.408
951.4597,99.99969,951.4597,-202.344
951.5646,99.9997,951.5646,-202.279
951.6694,99.9997,951.6694,-202.214
951.7743,99.9997,951.7743,-202.148
951.8792,99.99971,951.8792,-202.082
951.9841,99.99971,951.9841,-202.016
952.0891,99.99971,952.0891,-201.949
952.194,99.99971,952.194,-201.882
952.299,99.99972,952.299,-201.814
952.4041,99.99972,952.4041,-201.746
952.5091,99.99972,952.5091,-201.678
952.6142,99.99972,952.6142,-201.609
952.7192,99.99973,952.7192,-201.541
952.8244,99.99973,952.8244,-201.471
952.9295,99.99973,952.9295,-201.402
953.0347,99.99973,953.0347,-201.333
953.1398,99.99973,953.1398,-201.263
953.245,99.99974,953.245,-201.193
953.3503,99.99974,953.3503,-201.123
953.4555,99.99974,953.4555,-201.052
953.5608,99.99974,953.5608,-200.982
953.6661,99.99974,953.6661,-200.911
953.7714,99.99975,953.7714,-200.841
953.8767,99.99975,953.8767,-200.77
953.9821,99.99975,953.9821,-200.699
954.0875,99.99975,954.0875,-200.629
954.1929,99.99975,954.1929,-200.558
954.2983,99.99976,954.2983,-200.487
954.4038,99.99976,954.4038,-200.416
954.5093,99.99976,954.5093,-200.345
954.6148,99.99976,954.6148,-200.275
954.7203,99.99976,954.7203,-200.204
954.8259,99.99976,954.8259,-200.133
954.9314,99.99976,954.9314,-200.063
955.037,99.99977,955.037,-199.993
955.1427,99.99977,955.1427,-199.923
955.2483,99.99977,955.2483,-199.853
955.354,99.99977,955.354,-199.783
955.4597,99.99977,955.4597,-199.713
955.5654,99.99977,955.5654,-199.644
955.6711,99.99977,955.6711,-199.574
955.7769,99.99978,955.7769,-199.506
955.8827,99.99978,955.8827,-199.437
955.9885,99.99978,955.9885,-199.368
956.0943,99.99978,956.0943,-199.3
956.2002,99.99978,956.2002,-199.233
956.3061,99.99978,956.3061,-199.165
956.412,99.99978,956.412,-199.098
956.5179,99.99978,956.5179,-199.031
956.6238,99.99978,956.6238,-198.965
956.7298,99.99979,956.7298,-198.899
956.8358,99.99979,956.8358,-198.833
956.9418,99.99979,956.9418,-198.768
957.0479,99.99979,957.0479,-198.704
957.1539,99.99979,957.1539,-198.639
957.26,99.99979,957.26,-198.576
957.3661,99.99979,957.3661,-198.512
957.4723,99.99979,957.4723,-198.45
957.5784,99.99979,957.5784,-198.388
957.6846,99.99979,957.6846,-198.326
957.7908,99.99979,957.7908,-198.265
957.8971,99.99979,957.8971,-198.204
958.0033,99.99979,958.0033,-198.144
958.1096,99.9998,958.1096,-198.085
958.2159,99.9998,958.2159,-198.026
958.3222,99.9998,958.3222,-197.968
958.4286,99.9998,958.4286,-197.91
958.535,99.9998,958.535,-197.853
958.6414,99.9998,958.6414,-197.797
958.7478,99.9998,958.7478,-197.742
958.8542,99.9998,958.8542,-197.687
958.9607,99.9998,958.9607,-197.633
959.0672,99.9998,959.0672,-197.579
959.1737,99.9998,959.1737,-197.527
959.2802,99.9998,959.2802,-197.475
959.3868,99.9998,959.3868,-197.423
959.4934,99.9998,959.4934,-197.373
959.6,99.9998,959.6,-197.323
959.7066,99.9998,959.7066,-197.274
959.8133,99.9998,959.8133,-197.226
959.92,99.9998,959.92,-197.179
960.0267,99.9998,960.0267,-197.133
960.1334,99.9998,960.1334,-197.087
960.2402,99.9998,960.2402,-197.042
