	Simulated 
	actual 
1017.20773	-434.182114
1017.241608	-434.4730195
1017.275488	-434.7636026
1017.309371	-435.0538614
1017.343256	-435.343794
1017.377143	-435.6333986
1017.411032	-435.9226731
1017.444923	-436.2116157
1017.478817	-436.5002245
1017.512713	-436.7884975
1017.546612	-437.0764329
1017.580512	-437.3640287
1017.614415	-437.651283
1017.64832	-437.9381939
1017.682228	-438.2247594
1017.716137	-438.5109777
1017.750049	-438.7968468
1017.783963	-439.0823648
1017.81788	-439.3675298
1017.851798	-439.6523398
1017.885719	-439.936793
1017.919642	-440.2208873
1017.953568	-440.5046209
1017.987496	-440.7879918
1018.021426	-441.0709981
1018.055358	-441.3536379
1018.089292	-441.6359092
1018.123229	-441.9178101
1018.157168	-442.1993387
1018.191109	-442.480493
1018.225053	-442.7612711
1018.258999	-443.0416711
1018.292947	-443.3216909
1018.326897	-443.6013288
1018.36085	-443.8805827
1018.394804	-444.1594507
1018.428762	-444.4379309
1018.462721	-444.7160213
1018.496683	-444.99372
1018.530647	-445.271025
1018.564613	-445.5479344
1018.598581	-445.8244463
1018.632552	-446.1005587
1018.666525	-446.3762697
1018.7005	-446.6515773
1018.734478	-446.9264796
1018.768457	-447.2009747
1018.80244	-447.4750606
1018.836424	-447.7487353
1018.87041	-448.021997
1018.904399	-448.2948436
1018.93839	-448.5672733
1018.972384	-448.8392841
1019.006379	-449.110874
1019.040377	-449.3820412
1019.074378	-449.6527836
1019.10838	-449.9230994
1019.142385	-450.1929865
1019.176392	-450.4624431
1019.210401	-450.7314673
1019.244413	-451.0000569
1019.278426	-451.2682103
1019.312442	-451.5359253
1019.346461	-451.8032
1019.380481	-452.0700326
1019.414504	-452.3364211
1019.448529	-452.6023635
1019.482557	-452.8678579
1019.516587	-453.1329024
1019.550619	-453.397495
1019.584653	-453.6616338
1019.618689	-453.9253169
1019.652728	-454.1885424
1019.686769	-454.4513082
1019.720813	-454.7136126
1019.754858	-454.9754535
1019.788906	-455.236829
1019.822956	-455.4977373
1019.857009	-455.7581763
1019.891063	-456.0181442
1019.92512	-456.277639
1019.95918	-456.5366589
1019.993241	-456.7952018
1020	-456.8464462
1020.027305	-457.0532659
1020.061371	-457.3108493
1020.095439	-457.5679501
1020.12951	-457.8245662
1020.163583	-458.0806959
1020.197658	-458.3363373
1020.231736	-458.5914883
1020.265815	-458.8461471
1020.299897	-459.1003119
1020.333982	-459.3539806
1020.368068	-459.6071514
1020.402157	-459.8598225
1020.436248	-460.1119918
1020.470342	-460.3636576
1020.481677	-460.4472193
1020.504437	-460.6148178
1020.538535	-460.8654707
1020.572635	-461.1156144
1020.606738	-461.3652469
1020.640843	-461.6143663
1020.67495	-461.8629709
1020.709059	-462.1110587
1020.743171	-462.3586278
1020.777285	-462.6056764
1020.811401	-462.8522026
1020.845519	-463.0982045
1020.87964	-463.3436803
1020.913763	-463.5886281
1020.947888	-463.8330461
1020.96381	-463.9468936
1020.982016	-464.0769323
1021.016146	-464.320285
1021.050278	-464.5631022
1021.084413	-464.8053822
1021.118549	-465.0471231
1021.152688	-465.2883231
1021.18683	-465.5289802
1021.220973	-465.7690927
1021.255119	-466.0086588
1021.289267	-466.2476766
1021.323418	-466.4861443
1021.35757	-466.7240601
1021.391725	-466.9614221
1021.425883	-467.1982286
1021.446398	-467.3401842
1021.460042	-467.4344777
1021.494204	-467.6701677
1021.528368	-467.9052966
1021.562535	-468.1398628
1021.596703	-468.3738644
1021.630874	-468.6072997
1021.665048	-468.8401668
1021.699223	-469.0724639
1021.733401	-469.3041894
1021.767581	-469.5353414
1021.801764	-469.7659181
1021.835948	-469.9959177
1021.870135	-470.2253386
1021.904325	-470.454179
1021.929443	-470.6219242
1021.938516	-470.682437
1021.97271	-470.910111
1022.006906	-471.1371992
1022.041105	-471.3636999
1022.075305	-471.5896113
1022.109508	-471.8149317
1022.143714	-472.0396594
1022.177921	-472.2637926
1022.212131	-472.4873297
1022.246343	-472.7102689
1022.280558	-472.9326085
1022.314774	-473.1543468
1022.348994	-473.3754822
1022.383215	-473.5960129
1022.412945	-473.7870955
1022.417438	-473.8159372
1022.451664	-474.0352535
1022.485893	-474.2539601
1022.520123	-474.4720553
1022.554356	-474.6895375
1022.588591	-474.906405
1022.622828	-475.1226562
1022.657068	-475.3382893
1022.69131	-475.5533028
1022.725554	-475.767695
1022.759801	-475.9814644
1022.79405	-476.1946092
1022.828301	-476.4071279
1022.862554	-476.6190188
1022.89681	-476.8302803
1022.931068	-477.040911
1022.965328	-477.250909
1022.999591	-477.4602729
1023.033856	-477.6690011
1023.068123	-477.8770921
1023.102393	-478.0845441
1023.136664	-478.2913558
1023.170938	-478.4975255
1023.205215	-478.7030516
1023.239493	-478.9079327
1023.273774	-479.1121673
1023.308058	-479.3157537
1023.342343	-479.5186904
1023.376631	-479.7209761
1023.381322	-479.7485998
1023.410921	-479.9226091
1023.445214	-480.1235879
1023.479509	-480.3239111
1023.513806	-480.5235771
1023.548105	-480.7225846
1023.582407	-480.920932
1023.616711	-481.1186179
1023.651017	-481.3156408
1023.685325	-481.5119993
1023.719636	-481.7076919
1023.753949	-481.9027172
1023.788265	-482.0970738
1023.822583	-482.2907602
1023.856903	-482.4837751
1023.866199	-482.5359401
1023.891225	-482.6761171
1023.92555	-482.8677848
1023.959877	-483.0587767
1023.994206	-483.2490916
1024.028538	-483.438728
1024.062871	-483.6276846
1024.097208	-483.81596
1024.131546	-484.0035529
1024.165887	-484.1904621
1024.20023	-484.376686
1024.234575	-484.5622235
1024.268923	-484.7470733
1024.303273	-484.9312339
1024.337625	-485.1147042
1024.351536	-485.1887981
1024.37198	-485.2974829
1024.406337	-485.4795686
1024.440696	-485.6609602
1024.475058	-485.8416564
1024.509421	-486.0216559
1024.543787	-486.2009576
1024.578156	-486.3795601
1024.612527	-486.5574623
1024.6469	-486.7346629
1024.681275	-486.9111609
1024.715653	-487.0869549
1024.750033	-487.2620438
1024.784415	-487.4364265
1024.818799	-487.6101017
1024.837333	-487.7034143
1024.853186	-487.7830684
1024.887576	-487.9553254
1024.921967	-488.1268716
1024.956361	-488.2977059
1024.990757	-488.4678271
1025.025155	-488.6372342
1025.059556	-488.8059261
1025.093959	-488.9739016
1025.128365	-489.1411599
1025.162772	-489.3076997
1025.197182	-489.4735201
1025.231594	-489.6386199
1025.266009	-489.8029983
1025.300426	-489.9666542
1025.323591	-490.076392
1025.334845	-490.1295866
