Wlgth,GDDrp5deg,GDDrp19deg
493.9341147,-13.77101083,-21.91881889
494.1101913,-13.96327271,-22.18318746
494.2863935,-14.16068885,-22.4504707
494.4627215,-14.36476169,-22.72075472
494.6391753,-14.57660596,-22.99413044
494.815755,-14.79648789,-23.27068578
494.9924609,-15.02344826,-23.5504964
495.1692931,-15.25522441,-23.83361556
495.3462516,-15.48861548,-24.12006478
495.5233366,-15.72023378,-24.40982713
495.7005484,-15.9473649,-24.70284524
495.8778869,-16.16858209,-24.99902566
496.0553523,-16.38389555,-25.29824977
496.2329448,-16.59446241,-25.60039026
496.4106645,-16.80206603,-25.90533028
496.5885116,-17.00860245,-26.2129817
496.7664861,-17.21572295,-26.52329894
496.9445883,-17.42466723,-26.83628587
497.1228182,-17.63624625,-27.1519952
497.301176,-17.85090974,-27.47052121
497.4796618,-18.06884362,-27.79198834
497.6582758,-18.29006325,-28.11653811
497.8370181,-18.51448774,-28.44431691
498.0158889,-18.74199214,-28.77546611
498.1948882,-18.97244071,-29.1101154
498.3740162,-19.20570584,-29.44837914
498.5532731,-19.44167751,-29.7903553
498.732659,-19.68026665,-30.13612624
498.9121741,-19.92140521,-30.48576064
499.0918184,-20.16504455,-30.83931582
499.2715921,-20.41115317,-31.19684026
499.4514954,-20.65971449,-31.55837574
499.6315284,-20.91072489,-31.9239593
499.8116912,-21.16419222,-32.29362455
499.991984,-21.42013493,-32.6674028
500.1724069,-21.67858164,-33.04532362
500.3529601,-21.93957122,-33.42741518
500.5336436,-22.20315315,-33.81370424
500.7144577,-22.4693881,-34.20421597
500.8954025,-22.7383482,-34.5989734
501.0764781,-23.01011675,-34.99799685
501.2576847,-23.28478681,-35.40130294
501.4390224,-23.56245803,-35.8089035
501.6204914,-23.8432314,-36.22080426
501.8020917,-24.12720168,-36.63700318
501.9838236,-24.41444808,-37.05748876
502.1656871,-24.70502428,-37.48223804
502.3476825,-24.99894972,-37.91121486
502.5298099,-25.29620478,-38.34436846
502.7120693,-25.59673174,-38.78163328
502.894461,-25.90044301,-39.22293101
503.0769851,-26.20723563,-39.66817664
503.2596418,-26.51700981,-40.11729115
503.4424311,-26.8296874,-40.57022402
503.6253532,-27.14522632,-41.02698946
503.8084084,-27.46362815,-41.48771905
503.9915966,-27.78493792,-41.95272994
504.1749182,-28.10923735,-42.4225993
504.3583731,-28.43663393,-42.89822144
504.5419616,-28.76724882,-43.38080622
504.7256838,-29.10120582,-43.87176542
504.9095398,-29.43862301,-44.37244562
505.0935298,-29.77960739,-44.88372214
505.277654,-30.12425244,-45.40556482
505.4619125,-30.47263786,-45.93677531
505.6463054,-30.82483066,-46.47509002
505.8308329,-31.18088713,-47.01769356
506.0154951,-31.54085493,-47.56196102
506.2002922,-31.90477516,-48.10610787
506.3852243,-32.27268404,-48.64948759
506.5702916,-32.6446143,-49.19248614
506.7554942,-33.02059611,-49.73615578
506.9408322,-33.40065775,-50.28179451
507.1263059,-33.78482589,-50.83062056
507.3119154,-34.17312566,-51.38359416
507.4976608,-34.56558049,-51.94136665
