Wlgth,Rp5deg,Rp19deg
482.9204088,99.99355497,99.97924231
483.0887194,99.99385992,99.98125502
483.2571473,99.99411247,99.9831728
483.4256927,99.99431802,99.98492206
483.5943557,99.99448084,99.98647235
483.7631365,99.99460413,99.98782088
483.9320351,99.99469024,99.98898006
484.1010517,99.99474063,99.98996912
484.2701863,99.99475602,99.99080914
484.4394392,99.99473632,99.9915204
484.6088105,99.99468068,99.99212119
484.7783002,99.99458742,99.99262734
484.9479086,99.99445396,99.99305229
485.1176356,99.99427675,99.99340726
485.2874815,99.99405111,99.99370153
485.4574464,99.99377112,99.99394274
485.6275304,99.99342943,99.99413712
485.7977336,99.99301714,99.99428975
485.9680561,99.99252368,99.99440477
486.1384981,99.99193695,99.99448555
486.3090597,99.99124375,99.99453482
486.4797411,99.99043084,99.99455487
486.6505422,99.98948722,99.99454763
486.8214634,99.9884082,99.99451487
486.9925047,99.98720212,99.99445826
487.1636662,99.98590006,99.99437962
487.334948,99.98456727,99.99428102
487.5063504,99.98331186,99.99416503
487.6778733,99.9822813,99.99403488
487.849517,99.98163684,99.99389467
488.0212816,99.98150526,99.99374955
488.1931671,99.98192827,99.9936058
