Wlgth	Rp _	Wlgth	GDDrs _
874.2327873	99.99894007	874.2327873	-227.5229402
874.3950592	99.99892422	874.3950592	-228.3358343
874.5573914	99.99890804	874.5573914	-229.1303008
874.7197839	99.99889154	874.7197839	-229.90491
874.8822367	99.99887471	874.8822367	-230.6582578
875.0447499	99.99885757	875.0447499	-231.3889678
875.2073235	99.99884012	875.2073235	-232.095695
875.3699574	99.99882236	875.3699574	-232.7771283
875.5326519	99.99880429	875.5326519	-233.4319938
875.6954068	99.99878594	875.6954068	-234.0590574
875.8582222	99.99876729	875.8582222	-234.6571279
876.0210982	99.99874837	876.0210982	-235.2250596
876.1840348	99.99872917	876.1840348	-235.7617553
876.347032	99.99870972	876.347032	-236.2661685
876.5100898	99.99869002	876.5100898	-236.7373068
876.6732084	99.99867008	876.6732084	-237.1742338
876.8363876	99.99864991	876.8363876	-237.5760718
876.9996277	99.99862953	876.9996277	-237.9420039
877.1629285	99.99860896	877.1629285	-238.2712768
877.3262901	99.99858821	877.3262901	-238.5632022
877.4897126	99.99856729	877.4897126	-238.8171595
877.653196	99.99854623	877.653196	-239.0325972
877.8167404	99.99852503	877.8167404	-239.2090348
877.9803456	99.99850372	877.9803456	-239.3460644
878.1440119	99.99848233	878.1440119	-239.4433525
878.3077392	99.99846086	878.3077392	-239.5006404
878.4715276	99.99843934	878.4715276	-239.5177464
878.6353771	99.9984178	878.6353771	-239.4945658
878.7992877	99.99839625	878.7992877	-239.4310726
878.9632595	99.99837471	878.9632595	-239.3273192
879.1272925	99.99835322	879.1272925	-239.1834375
879.2913867	99.99833178	879.2913867	-238.9996387
879.4555422	99.99831044	879.4555422	-238.7762134
879.619759	99.9982892	879.619759	-238.5135316
879.7840371	99.9982681	879.7840371	-238.2120423
879.9483766	99.99824716	879.9483766	-237.8722725
880.1127775	99.99822639	880.1127775	-237.4948268
880.2772398	99.99820583	880.2772398	-237.0803864
880.4417637	99.9981855	880.4417637	-236.6297076
880.606349	99.99816541	880.606349	-236.1436206
880.7709959	99.99814559	880.7709959	-235.6230278
